solver,agent_id,task_id,step,loc,row,col
solver1,0,18282,0,2429077,1349,877
solver1,0,18282,1,2430877,1350,877
solver1,0,18282,2,2432677,1351,877
solver1,0,18282,3,2434477,1352,877
solver1,0,18282,4,2436277,1353,877
solver1,0,18282,5,2438077,1354,877
solver1,0,18282,6,2438078,1354,878
solver1,0,18282,7,2438079,1354,879
solver1,0,18282,8,2438080,1354,880
solver1,0,18282,9,2438081,1354,881
solver1,1,14671,0,2877044,1598,644
solver1,1,14671,1,2877043,1598,643
solver1,1,14671,2,2878843,1599,643
solver1,1,14671,3,2880643,1600,643
solver1,1,14671,4,2882443,1601,643
solver1,2,24830,0,1040995,578,595
solver1,2,24830,1,1040996,578,596
solver1,2,24830,2,1040997,578,597
solver1,3,28121,0,720376,400,376
solver1,3,28121,1,718576,399,376
solver1,3,28121,2,718575,399,375
solver1,3,28121,3,718574,399,374
solver1,3,28121,4,718573,399,373
solver1,3,28121,5,716773,398,373
solver1,3,28121,6,714973,397,373
solver1,4,10220,0,2213327,1229,1127
solver1,4,10220,1,2215127,1230,1127
solver1,4,10220,2,2215126,1230,1126
solver1,4,10220,3,2216926,1231,1126
solver1,4,10220,4,2218726,1232,1126
solver1,4,10220,5,2220526,1233,1126
solver1,5,11688,0,2167485,1204,285
solver1,5,11688,1,2169285,1205,285
solver1,5,11688,2,2171085,1206,285
solver1,6,21984,0,3044526,1691,726
solver1,6,21984,1,3042726,1690,726
solver1,6,21984,2,3040926,1689,726
solver1,6,21984,3,3040925,1689,725
solver1,6,21984,4,3039125,1688,725
solver1,6,21984,5,3039124,1688,724
solver1,6,21984,6,3037324,1687,724
solver1,7,11141,0,399917,222,317
solver1,7,11141,1,399916,222,316
solver1,7,11141,2,401716,223,316
solver1,7,11141,3,403516,224,316
solver1,8,8724,0,2335763,1297,1163
solver1,8,8724,1,2335762,1297,1162
solver1,9,22205,0,2146572,1192,972
solver1,9,22205,1,2146573,1192,973
solver1,9,22205,2,2144773,1191,973
solver1,10,24993,0,2056709,1142,1109
solver1,10,24993,1,2058509,1143,1109
solver1,10,24993,2,2058508,1143,1108
solver1,10,24993,3,2060308,1144,1108
solver1,10,24993,4,2060307,1144,1107
solver1,10,24993,5,2062107,1145,1107
solver1,10,24993,6,2063907,1146,1107
solver1,10,24993,7,2065707,1147,1107
solver1,10,24993,8,2067507,1148,1107
solver1,11,6429,0,2270566,1261,766
solver1,11,6429,1,2270565,1261,765
solver1,11,6429,2,2268765,1260,765
solver1,11,6429,3,2266965,1259,765
solver1,11,6429,4,2265165,1258,765
solver1,11,6429,5,2263365,1257,765
solver1,12,13897,0,1448643,804,1443
solver1,12,13897,1,1448642,804,1442
solver1,12,13897,2,1448641,804,1441
solver1,12,13897,3,1448640,804,1440
solver1,12,13897,4,1448639,804,1439
solver1,12,13897,5,1450439,805,1439
solver1,13,1536,0,2436232,1353,832
solver1,13,1536,1,2436231,1353,831
solver1,13,1536,2,2436230,1353,830
solver1,13,1536,3,2436229,1353,829
solver1,14,24363,0,1104271,613,871
solver1,14,24363,1,1104272,613,872
solver1,14,24363,2,1104273,613,873
solver1,14,24363,3,1104274,613,874
solver1,14,24363,4,1104275,613,875
solver1,14,24363,5,1104276,613,876
solver1,14,24363,6,1104277,613,877
solver1,14,24363,7,1104278,613,878
solver1,14,24363,8,1102478,612,878
solver1,14,24363,9,1100678,611,878
solver1,14,24363,10,1098878,610,878
solver1,14,24363,11,1097078,609,878
solver1,15,23759,0,1311910,728,1510
solver1,15,23759,1,1311909,728,1509
solver1,15,23759,2,1311908,728,1508
solver1,15,23759,3,1313708,729,1508
solver1,16,26513,0,651886,362,286
solver1,16,26513,1,651885,362,285
solver1,16,26513,2,651884,362,284
solver1,16,26513,3,651883,362,283
solver1,16,26513,4,651882,362,282
solver1,17,29660,0,708803,393,1403
solver1,17,29660,1,708802,393,1402
solver1,17,29660,2,708801,393,1401
solver1,17,29660,3,708800,393,1400
solver1,17,29660,4,708799,393,1399
solver1,17,29660,5,710599,394,1399
solver1,18,5602,0,1035565,575,565
solver1,18,5602,1,1033765,574,565
solver1,18,5602,2,1031965,573,565
solver1,18,5602,3,1030165,572,565
solver1,18,5602,4,1028365,571,565
solver1,18,5602,5,1026565,570,565
solver1,19,27029,0,2511818,1395,818
solver1,19,27029,1,2511817,1395,817
solver1,19,27029,2,2511816,1395,816
solver1,19,27029,3,2511815,1395,815
solver1,19,27029,4,2511814,1395,814
solver1,19,27029,5,2511813,1395,813
solver1,19,27029,6,2511812,1395,812
solver1,19,27029,7,2511811,1395,811
solver1,19,27029,8,2511810,1395,810
solver1,19,27029,9,2511809,1395,809
solver1,19,27029,10,2511808,1395,808
solver1,19,27029,11,2511807,1395,807
solver1,19,27029,12,2511806,1395,806
