solver,agent_id,task_id,step,loc,row,col
solver1,0,476,0,2429077,1349,877
solver1,0,476,1,2429076,1349,876
solver1,0,476,2,2429075,1349,875
solver1,0,476,3,2429074,1349,874
solver1,0,476,4,2429073,1349,873
solver1,0,476,5,2429072,1349,872
solver1,0,476,6,2429071,1349,871
solver1,0,476,7,2429070,1349,870
solver1,0,476,8,2429069,1349,869
solver1,0,476,9,2429068,1349,868
solver1,0,476,10,2429067,1349,867
solver1,0,476,11,2429066,1349,866
solver1,0,476,12,2429065,1349,865
solver1,0,476,13,2429064,1349,864
solver1,0,476,14,2429063,1349,863
solver1,0,476,15,2429062,1349,862
solver1,0,476,16,2429061,1349,861
solver1,0,476,17,2429060,1349,860
solver1,0,476,18,2429059,1349,859
solver1,0,476,19,2429058,1349,858
solver1,0,476,20,2429057,1349,857
solver1,0,476,21,2429056,1349,856
solver1,0,476,22,2429055,1349,855
solver1,0,476,23,2429054,1349,854
solver1,0,476,24,2429053,1349,853
solver1,0,476,25,2429052,1349,852
solver1,0,476,26,2429051,1349,851
solver1,0,476,27,2429050,1349,850
solver1,0,476,28,2429049,1349,849
solver1,0,476,29,2429048,1349,848
solver1,0,476,30,2429047,1349,847
solver1,0,476,31,2429046,1349,846
solver1,0,476,32,2429045,1349,845
solver1,0,476,33,2429044,1349,844
solver1,0,476,34,2429043,1349,843
solver1,0,476,35,2429042,1349,842
solver1,0,476,36,2429041,1349,841
solver1,0,476,37,2429040,1349,840
solver1,0,476,38,2429039,1349,839
solver1,0,476,39,2429038,1349,838
solver1,0,476,40,2429037,1349,837
solver1,0,476,41,2429036,1349,836
solver1,0,476,42,2429035,1349,835
solver1,0,476,43,2429034,1349,834
solver1,0,476,44,2429033,1349,833
solver1,0,476,45,2429032,1349,832
solver1,0,476,46,2429031,1349,831
solver1,0,476,47,2429030,1349,830
solver1,0,476,48,2427230,1348,830
solver1,0,476,49,2425430,1347,830
solver1,0,476,50,2423630,1346,830
solver1,0,476,51,2421830,1345,830
solver1,1,50,0,2877044,1598,644
solver1,1,50,1,2877043,1598,643
solver1,1,50,2,2877042,1598,642
solver1,1,50,3,2877041,1598,641
solver1,1,50,4,2877040,1598,640
solver1,1,50,5,2877039,1598,639
solver1,1,50,6,2877038,1598,638
solver1,1,50,7,2877037,1598,637
solver1,1,50,8,2877036,1598,636
solver1,1,50,9,2877035,1598,635
solver1,1,50,10,2877034,1598,634
solver1,1,50,11,2877033,1598,633
solver1,1,50,12,2877032,1598,632
solver1,1,50,13,2877031,1598,631
solver1,1,50,14,2877030,1598,630
solver1,1,50,15,2877029,1598,629
solver1,1,50,16,2877028,1598,628
solver1,1,50,17,2877027,1598,627
solver1,1,50,18,2877026,1598,626
solver1,1,50,19,2877025,1598,625
solver1,1,50,20,2877024,1598,624
solver1,1,50,21,2877023,1598,623
solver1,1,50,22,2877022,1598,622
solver1,1,50,23,2877021,1598,621
solver1,1,50,24,2877020,1598,620
solver1,1,50,25,2875220,1597,620
solver1,1,50,26,2875219,1597,619
solver1,1,50,27,2875218,1597,618
solver1,1,50,28,2875217,1597,617
solver1,1,50,29,2875216,1597,616
solver1,1,50,30,2875215,1597,615
solver1,1,50,31,2875214,1597,614
solver1,1,50,32,2875213,1597,613
solver1,1,50,33,2875212,1597,612
solver1,1,50,34,2875211,1597,611
solver1,1,50,35,2875210,1597,610
solver1,1,50,36,2875209,1597,609
solver1,1,50,37,2875208,1597,608
solver1,1,50,38,2873408,1596,608
solver1,1,50,39,2871608,1595,608
solver1,1,50,40,2869808,1594,608
solver1,1,50,41,2868008,1593,608
solver1,1,50,42,2866208,1592,608
solver1,1,50,43,2864408,1591,608
solver1,1,50,44,2862608,1590,608
solver1,1,50,45,2860808,1589,608
solver1,1,50,46,2859008,1588,608
solver1,1,50,47,2857208,1587,608
solver1,2,316,0,1040995,578,595
solver1,2,316,1,1040994,578,594
solver1,2,316,2,1040993,578,593
solver1,2,316,3,1040992,578,592
solver1,2,316,4,1040991,578,591
solver1,2,316,5,1040990,578,590
solver1,2,316,6,1042790,579,590
solver1,2,316,7,1044590,580,590
solver1,2,316,8,1046390,581,590
solver1,2,316,9,1048190,582,590
solver1,2,316,10,1049990,583,590
solver1,2,316,11,1051790,584,590
solver1,2,316,12,1053590,585,590
solver1,2,316,13,1055390,586,590
solver1,2,316,14,1057190,587,590
solver1,2,316,15,1058990,588,590
solver1,2,316,16,1060790,589,590
solver1,2,316,17,1062590,590,590
solver1,2,316,18,1064390,591,590
solver1,2,316,19,1066190,592,590
solver1,2,316,20,1067990,593,590
solver1,2,316,21,1069790,594,590
solver1,2,316,22,1071590,595,590
solver1,2,316,23,1073390,596,590
solver1,2,316,24,1075190,597,590
solver1,2,316,25,1076990,598,590
solver1,2,316,26,1078790,599,590
solver1,2,316,27,1080590,600,590
solver1,2,316,28,1082390,601,590
solver1,2,316,29,1084190,602,590
solver1,2,316,30,1085990,603,590
solver1,2,316,31,1087790,604,590
solver1,2,316,32,1089590,605,590
solver1,2,316,33,1091390,606,590
solver1,2,316,34,1093190,607,590
solver1,2,316,35,1094990,608,590
solver1,2,316,36,1096790,609,590
solver1,2,316,37,1098590,610,590
solver1,2,316,38,1100390,611,590
solver1,2,316,39,1102190,612,590
solver1,2,316,40,1103990,613,590
solver1,2,316,41,1105790,614,590
solver1,2,316,42,1107590,615,590
solver1,2,316,43,1109390,616,590
solver1,2,316,44,1111190,617,590
solver1,2,316,45,1112990,618,590
solver1,2,316,46,1114790,619,590
solver1,2,316,47,1116590,620,590
solver1,2,316,48,1118390,621,590
solver1,2,316,49,1120190,622,590
solver1,2,316,50,1121990,623,590
solver1,2,316,51,1123790,624,590
solver1,2,316,52,1125590,625,590
solver1,2,316,53,1127390,626,590
solver1,2,316,54,1129190,627,590
solver1,2,316,55,1130990,628,590
solver1,2,316,56,1132790,629,590
solver1,2,316,57,1134590,630,590
solver1,2,316,58,1136390,631,590
solver1,2,316,59,1138190,632,590
solver1,2,316,60,1139990,633,590
solver1,2,316,61,1141790,634,590
solver1,2,316,62,1143590,635,590
solver1,2,316,63,1145390,636,590
solver1,2,316,64,1147190,637,590
solver1,2,316,65,1148990,638,590
solver1,2,316,66,1150790,639,590
solver1,2,316,67,1152590,640,590
solver1,2,316,68,1154390,641,590
solver1,2,316,69,1156190,642,590
solver1,2,316,70,1157990,643,590
solver1,2,316,71,1159790,644,590
solver1,2,316,72,1161590,645,590
solver1,2,316,73,1163390,646,590
solver1,3,339,0,720376,400,376
solver1,3,339,1,722176,401,376
solver1,3,339,2,722177,401,377
solver1,3,339,3,722178,401,378
solver1,3,339,4,722179,401,379
solver1,3,339,5,722180,401,380
solver1,3,339,6,722181,401,381
solver1,3,339,7,722182,401,382
solver1,3,339,8,722183,401,383
solver1,3,339,9,722184,401,384
solver1,3,339,10,722185,401,385
solver1,3,339,11,722186,401,386
solver1,3,339,12,722187,401,387
solver1,3,339,13,722188,401,388
solver1,3,339,14,722189,401,389
solver1,3,339,15,722190,401,390
solver1,3,339,16,722191,401,391
solver1,3,339,17,722192,401,392
solver1,3,339,18,722193,401,393
solver1,3,339,19,722194,401,394
solver1,3,339,20,722195,401,395
solver1,3,339,21,722196,401,396
solver1,3,339,22,722197,401,397
solver1,3,339,23,723997,402,397
solver1,3,339,24,723998,402,398
solver1,3,339,25,723999,402,399
solver1,3,339,26,724000,402,400
solver1,3,339,27,724001,402,401
solver1,3,339,28,724002,402,402
solver1,3,339,29,724003,402,403
solver1,3,339,30,724004,402,404
solver1,3,339,31,725804,403,404
solver1,3,339,32,725805,403,405
solver1,3,339,33,725806,403,406
