solver,agent_id,task_id,step,loc,row,col
solver1,0,18937,0,2429077,1349,877
solver1,0,18937,1,2429076,1349,876
solver1,0,18937,2,2429075,1349,875
solver1,0,18937,3,2429074,1349,874
solver1,0,18937,4,2429073,1349,873
solver1,0,18937,5,2427273,1348,873
solver1,1,14671,0,2877044,1598,644
solver1,1,14671,1,2877043,1598,643
solver1,1,14671,2,2878843,1599,643
solver1,1,14671,3,2880643,1600,643
solver1,1,14671,4,2882443,1601,643
solver1,2,24830,0,1040995,578,595
solver1,2,24830,1,1040996,578,596
solver1,2,24830,2,1040997,578,597
solver1,3,28121,0,720376,400,376
solver1,3,28121,1,720375,400,375
solver1,3,28121,2,720374,400,374
solver1,3,28121,3,720373,400,373
solver1,3,28121,4,718573,399,373
solver1,3,28121,5,716773,398,373
solver1,3,28121,6,714973,397,373
solver1,4,10220,0,2213327,1229,1127
solver1,4,10220,1,2213326,1229,1126
solver1,4,10220,2,2215126,1230,1126
solver1,4,10220,3,2216926,1231,1126
solver1,4,10220,4,2218726,1232,1126
solver1,4,10220,5,2220526,1233,1126
solver1,5,11688,0,2167485,1204,285
solver1,5,11688,1,2169285,1205,285
solver1,5,11688,2,2171085,1206,285
solver1,6,21984,0,3044526,1691,726
solver1,6,21984,1,3044525,1691,725
solver1,6,21984,2,3044524,1691,724
solver1,6,21984,3,3042724,1690,724
solver1,6,21984,4,3040924,1689,724
solver1,6,21984,5,3039124,1688,724
solver1,6,21984,6,3037324,1687,724
solver1,7,11141,0,399917,222,317
solver1,7,11141,1,399916,222,316
solver1,7,11141,2,401716,223,316
solver1,7,11141,3,403516,224,316
solver1,8,8724,0,2335763,1297,1163
solver1,8,8724,1,2335762,1297,1162
solver1,9,22205,0,2146572,1192,972
solver1,9,22205,1,2146573,1192,973
solver1,9,22205,2,2144773,1191,973
solver1,10,3443,0,2056709,1142,1109
solver1,10,3443,1,2056708,1142,1108
solver1,10,3443,2,2056707,1142,1107
solver1,10,3443,3,2054907,1141,1107
solver1,10,3443,4,2053107,1140,1107
solver1,10,3443,5,2051307,1139,1107
solver1,10,3443,6,2049507,1138,1107
solver1,11,6429,0,2270566,1261,766
solver1,11,6429,1,2270565,1261,765
solver1,11,6429,2,2268765,1260,765
solver1,11,6429,3,2266965,1259,765
solver1,11,6429,4,2265165,1258,765
solver1,11,6429,5,2263365,1257,765
solver1,12,13897,0,1448643,804,1443
solver1,12,13897,1,1448642,804,1442
solver1,12,13897,2,1448641,804,1441
solver1,12,13897,3,1448640,804,1440
solver1,12,13897,4,1448639,804,1439
solver1,12,13897,5,1450439,805,1439
solver1,13,1536,0,2436232,1353,832
solver1,13,1536,1,2436231,1353,831
solver1,13,1536,2,2436230,1353,830
solver1,13,1536,3,2436229,1353,829
solver1,14,29120,0,1104271,613,871
solver1,14,29120,1,1104272,613,872
solver1,14,29120,2,1104273,613,873
solver1,14,29120,3,1104274,613,874
solver1,14,29120,4,1104275,613,875
solver1,14,29120,5,1104276,613,876
solver1,14,29120,6,1104277,613,877
solver1,14,29120,7,1104278,613,878
solver1,14,29120,8,1104279,613,879
solver1,14,29120,9,1104280,613,880
solver1,14,29120,10,1104281,613,881
solver1,15,23759,0,1311910,728,1510
solver1,15,23759,1,1311909,728,1509
solver1,15,23759,2,1311908,728,1508
solver1,15,23759,3,1313708,729,1508
solver1,16,26513,0,651886,362,286
solver1,16,26513,1,651885,362,285
solver1,16,26513,2,651884,362,284
solver1,16,26513,3,651883,362,283
solver1,16,26513,4,651882,362,282
solver1,17,29660,0,708803,393,1403
solver1,17,29660,1,708802,393,1402
solver1,17,29660,2,708801,393,1401
solver1,17,29660,3,708800,393,1400
solver1,17,29660,4,708799,393,1399
solver1,17,29660,5,710599,394,1399
solver1,18,5602,0,1035565,575,565
solver1,18,5602,1,1033765,574,565
solver1,18,5602,2,1031965,573,565
solver1,18,5602,3,1030165,572,565
solver1,18,5602,4,1028365,571,565
solver1,18,5602,5,1026565,570,565
solver1,19,27029,0,2511818,1395,818
solver1,19,27029,1,2511817,1395,817
solver1,19,27029,2,2511816,1395,816
solver1,19,27029,3,2511815,1395,815
solver1,19,27029,4,2511814,1395,814
solver1,19,27029,5,2511813,1395,813
solver1,19,27029,6,2511812,1395,812
solver1,19,27029,7,2511811,1395,811
solver1,19,27029,8,2511810,1395,810
solver1,19,27029,9,2511809,1395,809
solver1,19,27029,10,2511808,1395,808
solver1,19,27029,11,2511807,1395,807
solver1,19,27029,12,2511806,1395,806
solver1,20,20486,0,1828451,1015,1451
solver1,20,20486,1,1830251,1016,1451
solver1,20,20486,2,1832051,1017,1451
solver1,20,20486,3,1833851,1018,1451
solver1,20,20486,4,1835651,1019,1451
solver1,20,20486,5,1837451,1020,1451
solver1,20,20486,6,1837452,1020,1452
solver1,20,20486,7,1837453,1020,1453
solver1,20,20486,8,1837454,1020,1454
solver1,21,22106,0,1777646,987,1046
solver1,21,22106,1,1777647,987,1047
solver1,21,22106,2,1775847,986,1047
solver1,21,22106,3,1774047,985,1047
solver1,22,22663,0,2176969,1209,769
solver1,22,22663,1,2175169,1208,769
solver1,22,22663,2,2173369,1207,769
solver1,22,22663,3,2171569,1206,769
solver1,22,22663,4,2169769,1205,769
solver1,22,22663,5,2167969,1204,769
solver1,22,22663,6,2166169,1203,769
solver1,22,22663,7,2164369,1202,769
solver1,23,20765,0,615997,342,397
solver1,23,20765,1,617797,343,397
solver1,23,20765,2,619597,344,397
solver1,23,20765,3,621397,345,397
solver1,23,20765,4,621398,345,398
solver1,24,27496,0,580956,322,1356
solver1,24,27496,1,579156,321,1356
solver1,24,27496,2,579157,321,1357
solver1,24,27496,3,579158,321,1358
solver1,24,27496,4,577358,320,1358
solver1,24,27496,5,575558,319,1358
solver1,25,9942,0,1196322,664,1122
solver1,25,9942,1,1196323,664,1123
solver1,25,9942,2,1194523,663,1123
solver1,25,9942,3,1192723,662,1123
solver1,25,9942,4,1190923,661,1123
solver1,25,9942,5,1189123,660,1123
solver1,25,9942,6,1187323,659,1123
solver1,25,9942,7,1185523,658,1123
solver1,25,9942,8,1183723,657,1123
solver1,26,20351,0,968756,538,356
solver1,26,20351,1,968755,538,355
solver1,26,20351,2,968754,538,354
solver1,26,20351,3,968753,538,353
solver1,26,20351,4,968752,538,352
solver1,26,20351,5,968751,538,351
solver1,26,20351,6,970551,539,351
solver1,26,20351,7,972351,540,351
solver1,26,20351,8,974151,541,351
solver1,26,20351,9,975951,542,351
solver1,26,20351,10,977751,543,351
solver1,26,20351,11,979551,544,351
solver1,26,20351,12,981351,545,351
solver1,27,4986,0,1617153,898,753
solver1,27,4986,1,1617152,898,752
solver1,27,4986,2,1617151,898,751
solver1,27,4986,3,1615351,897,751
solver1,28,14090,0,1010264,561,464
solver1,28,14090,1,1010263,561,463
solver1,28,14090,2,1010262,561,462
solver1,28,14090,3,1012062,562,462
solver1,28,14090,4,1013862,563,462
