file,agents,label,tasks,steps,makespan,tp_makespan
IH_mp_2p_01_5000_solver1.json,5000,5000_solver1,195,12,201,0.9701492537313433
IH_mp_2p_01_5000_solver6_depth1.json,5000,5000_solver6_depth1,1288,66,200,6.44
IH_mp_2p_01_5000_solver6_depth2.json,5000,5000_solver6_depth2,1436,108,201,7.144278606965174
IH_mp_2p_01_5000_solver6_depth3.json,5000,5000_solver6_depth3,1458,104,201,7.253731343283582
IH_mp_2p_01_5000_solver6_depth4.json,5000,5000_solver6_depth4,1377,98,201,6.850746268656716
IH_mp_2p_01_10000_solver1.json,10000,10000_solver1,669,12,201,3.328358208955224
IH_mp_2p_01_10000_solver6_depth1.json,10000,10000_solver6_depth1,2951,66,201,14.681592039800995
IH_mp_2p_01_10000_solver6_depth2.json,10000,10000_solver6_depth2,3234,124,201,16.08955223880597
IH_mp_2p_01_10000_solver6_depth2_rerun.json,10000,10000_solver6_depth2_rerun,3234,124,201,16.08955223880597
IH_mp_2p_01_10000_solver6_depth3.json,10000,10000_solver6_depth3,3241,117,200,16.205
IH_mp_2p_01_10000_solver6_depth4.json,10000,10000_solver6_depth4,3023,95,201,15.039800995024876
IH_mp_2p_01_20000_solver1.json,20000,20000_solver1,1775,10,201,8.83084577114428
IH_mp_2p_01_20000_solver6_depth1.json,20000,20000_solver6_depth1,6577,66,201,32.72139303482587
IH_mp_2p_01_20000_solver6_depth2.json,20000,20000_solver6_depth2,6851,110,201,34.08457711442786
IH_mp_2p_01_20000_solver6_depth3.json,20000,20000_solver6_depth3,6796,113,200,33.98
IH_mp_2p_01_20000_solver6_depth4.json,20000,20000_solver6_depth4,6323,90,201,31.45771144278607
