level,src_id,dst_id,src_row,src_col,dst_row,dst_col,cost
1,26383,26370,636,874,634,874,1.5
1,26382,26381,636,866,636,864,1.5
1,26382,26368,636,866,634,866,1.5
1,26381,26382,636,864,636,866,1.5
1,26381,26380,636,864,636,862,2
1,26381,26367,636,864,634,864,1.5
1,26380,26381,636,862,636,864,2
1,26380,26379,636,862,636,860,2
1,26380,26366,636,862,634,862,1.5
1,26379,26380,636,860,636,862,2
1,26379,26378,636,860,636,858,2
1,26379,26365,636,860,634,860,1.5
1,26378,26379,636,858,636,860,2
1,26378,26377,636,858,636,856,2
1,26378,26364,636,858,634,858,1.5
1,26377,26378,636,856,636,858,2
1,26377,26376,636,856,636,854,2
1,26377,26363,636,856,634,856,1.5
1,26376,26377,636,854,636,856,2
1,26376,26375,636,854,636,852,2
1,26376,26362,636,854,634,855,1.5
1,26375,26376,636,852,636,854,2
1,26375,26374,636,852,636,850,2
1,26375,26361,636,852,635,852,1
1,26374,26375,636,850,636,852,2
1,26374,26373,636,850,636,848,2
1,26374,26360,636,850,634,850,1.5
1,26373,26374,636,848,636,850,2
1,26373,26372,636,848,636,847,1.5
1,26373,26359,636,848,634,848,1.5
1,26372,26373,636,847,636,848,1.5
1,26372,26358,636,847,634,847,1.5
1,26371,26370,634,876,634,874,2
1,26371,26355,634,876,633,876,1.5
1,26370,26383,634,874,636,874,1.5
1,26370,26371,634,874,634,876,2
1,26370,26369,634,874,634,873,1.5
1,26370,26354,634,874,632,874,2
1,26369,26370,634,873,634,874,1.5
1,26369,26353,634,873,632,872,2
1,26368,26382,634,866,636,866,1.5
1,26368,26367,634,866,634,864,2
1,26368,26350,634,866,632,866,2
1,26367,26381,634,864,636,864,1.5
1,26367,26368,634,864,634,866,2
1,26367,26366,634,864,634,862,2
1,26366,26380,634,862,636,862,1.5
1,26366,26367,634,862,634,864,2
1,26366,26365,634,862,634,860,2
1,26366,26349,634,862,632,862,2
1,26365,26379,634,860,636,860,1.5
1,26365,26366,634,860,634,862,2
1,26365,26364,634,860,634,858,2
1,26365,26348,634,860,632,860,2
1,26364,26378,634,858,636,858,1.5
1,26364,26365,634,858,634,860,2
1,26364,26363,634,858,634,856,2
1,26364,26347,634,858,632,858,2
1,26363,26377,634,856,636,856,1.5
1,26363,26364,634,856,634,858,2
1,26363,26362,634,856,634,855,2
1,26363,26346,634,856,633,856,1.5
1,26362,26376,634,855,636,854,1.5
1,26362,26363,634,855,634,856,2
1,26362,26361,634,855,635,852,2
1,26361,26375,635,852,636,852,1
1,26361,26362,635,852,634,855,2
1,26361,26360,635,852,634,850,2
1,26360,26374,634,850,636,850,1.5
1,26360,26361,634,850,635,852,2
1,26360,26359,634,850,634,848,2
1,26359,26373,634,848,636,848,1.5
1,26359,26360,634,848,634,850,2
1,26359,26358,634,848,634,847,1.5
1,26359,26345,634,848,632,848,2
1,26358,26372,634,847,636,847,1.5
1,26358,26359,634,847,634,848,1.5
1,26358,26344,634,847,632,846,2
1,26357,26356,634,840,634,838,2
1,26357,26341,634,840,632,840,2
1,26356,26357,634,838,634,840,2
1,26356,26340,634,838,633,839,1.5
1,26355,26371,633,876,634,876,1.5
1,26355,26354,633,876,632,874,1.5
1,26354,26370,632,874,634,874,2
1,26354,26355,632,874,633,876,1.5
1,26354,26353,632,874,632,872,2
1,26354,26337,632,874,630,874,2
1,26353,26369,632,872,634,873,2
1,26353,26354,632,872,632,874,2
1,26353,26352,632,872,632,870,2
1,26353,26336,632,872,630,872,2
1,26352,26353,632,870,632,872,2
1,26352,26351,632,870,632,868,2
1,26352,26335,632,870,630,870,1.5
1,26351,26352,632,868,632,870,2
1,26351,26350,632,868,632,866,2
1,26351,26334,632,868,630,868,2
1,26350,26368,632,866,634,866,2
1,26350,26351,632,866,632,868,2
1,26350,26333,632,866,631,867,1.5
1,26349,26366,632,862,634,862,2
1,26349,26348,632,862,632,860,2
1,26349,26332,632,862,630,862,2
1,26348,26365,632,860,634,860,2
1,26348,26349,632,860,632,862,2
1,26348,26347,632,860,632,858,2
1,26348,26331,632,860,630,860,2
1,26347,26364,632,858,634,858,2
1,26347,26348,632,858,632,860,2
1,26347,26346,632,858,633,856,2
1,26347,26330,632,858,630,859,2
1,26346,26363,633,856,634,856,1.5
1,26346,26347,633,856,632,858,2
1,26345,26359,632,848,634,848,2
1,26345,26344,632,848,632,846,2
1,26345,26329,632,848,630,848,2
1,26344,26358,632,846,634,847,2
1,26344,26345,632,846,632,848,2
1,26344,26343,632,846,632,844,2
1,26344,26328,632,846,630,846,2
1,26343,26344,632,844,632,846,2
1,26343,26342,632,844,632,842,2
1,26343,26327,632,844,630,844,2
1,26342,26343,632,842,632,844,2
1,26342,26341,632,842,632,840,2
1,26342,26326,632,842,630,842,2
1,26341,26357,632,840,634,840,2
1,26341,26342,632,840,632,842,2
1,26341,26340,632,840,633,839,1.5
1,26341,26325,632,840,630,841,2
1,26340,26356,633,839,634,838,1.5
1,26340,26341,633,839,632,840,1.5
1,26339,26338,630,1132,630,1130,2
1,26339,26324,630,1132,628,1132,1.5
1,26338,26339,630,1130,630,1132,2
1,26338,26323,630,1130,628,1130,1.5
1,26337,26354,630,874,632,874,2
1,26337,26336,630,874,630,872,2
1,26337,26319,630,874,628,874,2
1,26336,26353,630,872,632,872,2
1,26336,26337,630,872,630,874,2
1,26336,26335,630,872,630,870,2
1,26336,26318,630,872,628,872,2
1,26335,26352,630,870,632,870,1.5
1,26335,26336,630,870,630,872,2
1,26335,26334,630,870,630,868,2
1,26335,26317,630,870,628,870,2
1,26334,26351,630,868,632,868,2
1,26334,26335,630,868,630,870,2
1,26334,26333,630,868,631,867,1.5
1,26334,26316,630,868,628,869,2
1,26333,26350,631,867,632,866,1.5
1,26333,26334,631,867,630,868,1.5
1,26332,26349,630,862,632,862,2
1,26332,26331,630,862,630,860,2
1,26332,26314,630,862,628,862,2
1,26331,26348,630,860,632,860,2
1,26331,26332,630,860,630,862,2
1,26331,26330,630,860,630,859,1.5
1,26331,26313,630,860,628,860,2
1,26330,26347,630,859,632,858,2
1,26330,26331,630,859,630,860,1.5
1,26330,26312,630,859,628,858,2
1,26329,26345,630,848,632,848,2
1,26329,26328,630,848,630,846,1.5
1,26329,26310,630,848,628,848,2
1,26328,26344,630,846,632,846,2
1,26328,26329,630,846,630,848,1.5
1,26328,26327,630,846,630,844,2
1,26328,26309,630,846,628,846,2
1,26327,26343,630,844,632,844,2
1,26327,26328,630,844,630,846,2
1,26327,26326,630,844,630,842,2
1,26327,26308,630,844,628,844,2
1,26326,26342,630,842,632,842,2
1,26326,26327,630,842,630,844,2
1,26326,26325,630,842,630,841,1.5
1,26326,26307,630,842,628,842,2
1,26325,26341,630,841,632,840,2
1,26325,26326,630,841,630,842,1.5
1,26325,26306,630,841,628,840,2
1,26324,26339,628,1132,630,1132,1.5
1,26324,26323,628,1132,628,1130,1.5
1,26324,26305,628,1132,626,1132,2
1,26323,26338,628,1130,630,1130,1.5
1,26323,26324,628,1130,628,1132,1.5
1,26323,26322,628,1130,628,1128,2
1,26323,26304,628,1130,626,1130,2
1,26322,26323,628,1128,628,1130,2
1,26322,26321,628,1128,628,1126,2
1,26322,26303,628,1128,626,1128,2
1,26321,26322,628,1126,628,1128,2
1,26321,26320,628,1126,628,1125,1.5
1,26321,26302,628,1126,626,1126,2
1,26320,26321,628,1125,628,1126,1.5
1,26320,26301,628,1125,626,1124,1.5
1,26319,26337,628,874,630,874,2
1,26319,26318,628,874,628,872,2
1,26319,26294,628,874,626,874,2
1,26318,26336,628,872,630,872,2
1,26318,26319,628,872,628,874,2
1,26318,26317,628,872,628,870,2
1,26318,26293,628,872,626,872,2
1,26317,26335,628,870,630,870,2
1,26317,26318,628,870,628,872,2
1,26317,26316,628,870,628,869,1.5
1,26317,26292,628,870,626,870,2
1,26316,26334,628,869,630,868,2
1,26316,26317,628,869,628,870,1.5
1,26316,26291,628,869,626,868,2
1,26315,26314,628,864,628,862,2
1,26315,26289,628,864,626,864,2
1,26314,26332,628,862,630,862,2
1,26314,26315,628,862,628,864,2
1,26314,26313,628,862,628,860,2
1,26314,26288,628,862,626,862,2
1,26313,26331,628,860,630,860,2
1,26313,26314,628,860,628,862,2
1,26313,26312,628,860,628,858,2
1,26313,26287,628,860,626,860,2
1,26312,26330,628,858,630,859,2
1,26312,26313,628,858,628,860,2
1,26312,26286,628,858,626,858,2
1,26311,26310,628,850,628,848,2
1,26311,26282,628,850,626,850,1.5
1,26310,26329,628,848,630,848,2
1,26310,26311,628,848,628,850,2
1,26310,26309,628,848,628,846,2
1,26310,26281,628,848,626,848,2
1,26309,26328,628,846,630,846,2
1,26309,26310,628,846,628,848,2
1,26309,26308,628,846,628,844,2
1,26309,26280,628,846,626,846,2
1,26308,26327,628,844,630,844,2
1,26308,26309,628,844,628,846,2
1,26308,26307,628,844,628,842,2
1,26308,26279,628,844,626,844,2
1,26307,26326,628,842,630,842,2
1,26307,26308,628,842,628,844,2
1,26307,26306,628,842,628,840,2
1,26307,26278,628,842,626,842,2
1,26306,26325,628,840,630,841,2
1,26306,26307,628,840,628,842,2
1,26306,26277,628,840,626,840,2
1,26305,26324,626,1132,628,1132,2
1,26305,26304,626,1132,626,1130,1.5
1,26305,26271,626,1132,624,1132,2
1,26304,26323,626,1130,628,1130,2
1,26304,26305,626,1130,626,1132,1.5
1,26304,26303,626,1130,626,1128,2
1,26304,26270,626,1130,624,1130,2
1,26303,26322,626,1128,628,1128,2
1,26303,26304,626,1128,626,1130,2
1,26303,26302,626,1128,626,1126,2
1,26303,26269,626,1128,624,1128,2
1,26302,26321,626,1126,628,1126,2
1,26302,26303,626,1126,626,1128,2
1,26302,26301,626,1126,626,1124,2
1,26302,26268,626,1126,624,1126,2
1,26301,26320,626,1124,628,1125,1.5
1,26301,26302,626,1124,626,1126,2
1,26301,26300,626,1124,626,1122,2
1,26301,26267,626,1124,624,1124,2
1,26300,26301,626,1122,626,1124,2
1,26300,26266,626,1122,624,1122,2
1,26299,26262,626,922,624,922,2
1,26298,26297,626,882,626,880,2
1,26298,26260,626,882,624,882,1.5
1,26297,26298,626,880,626,882,2
1,26297,26296,626,880,626,878,2
1,26297,26259,626,880,624,880,1.5
1,26296,26297,626,878,626,880,2
1,26296,26295,626,878,626,876,2
1,26296,26258,626,878,624,878,1.5
1,26295,26296,626,876,626,878,2
1,26295,26294,626,876,626,874,2
1,26295,26257,626,876,624,876,2
1,26294,26319,626,874,628,874,2
1,26294,26295,626,874,626,876,2
1,26294,26293,626,874,626,872,2
1,26294,26256,626,874,624,874,2
1,26293,26318,626,872,628,872,2
1,26293,26294,626,872,626,874,2
1,26293,26292,626,872,626,870,2
1,26293,26255,626,872,624,872,2
1,26292,26317,626,870,628,870,2
1,26292,26293,626,870,626,872,2
1,26292,26291,626,870,626,868,2
1,26292,26254,626,870,624,870,2
1,26291,26316,626,868,628,869,2
1,26291,26292,626,868,626,870,2
1,26291,26290,626,868,626,866,2
1,26291,26253,626,868,624,868,2
1,26290,26291,626,866,626,868,2
1,26290,26289,626,866,626,864,2
1,26290,26252,626,866,624,866,1.5
1,26289,26315,626,864,628,864,2
1,26289,26290,626,864,626,866,2
1,26289,26288,626,864,626,862,2
1,26289,26251,626,864,624,864,2
1,26288,26314,626,862,628,862,2
1,26288,26289,626,862,626,864,2
1,26288,26287,626,862,626,860,2
1,26288,26250,626,862,624,862,2
1,26287,26313,626,860,628,860,2
1,26287,26288,626,860,626,862,2
1,26287,26286,626,860,626,858,2
1,26287,26249,626,860,624,860,2
1,26286,26312,626,858,628,858,2
1,26286,26287,626,858,626,860,2
1,26286,26285,626,858,626,856,2
1,26286,26248,626,858,624,858,2
1,26285,26286,626,856,626,858,2
1,26285,26284,626,856,626,854,2
1,26285,26247,626,856,624,856,2
1,26284,26285,626,854,626,856,2
1,26284,26283,626,854,626,852,2
1,26284,26246,626,854,624,854,2
1,26283,26284,626,852,626,854,2
