level,src_id,dst_id,src_row,src_col,dst_row,dst_col,cost
1,17,16,6,6,6,4,2
1,17,13,6,6,4,6,2
1,16,17,6,4,6,6,2
1,16,12,6,4,4,4,1.5
1,15,14,7,2,6,0,2
1,14,15,6,0,7,2,2
1,14,10,6,0,4,0,2
1,13,17,4,6,6,6,2
1,13,12,4,6,4,4,2
1,13,9,4,6,3,7,1.5
1,12,16,4,4,6,4,1.5
1,12,13,4,4,4,6,2
1,12,11,4,4,4,2,2
1,12,7,4,4,2,4,2
1,11,12,4,2,4,4,2
1,11,10,4,2,4,0,2
1,11,6,4,2,3,2,1.5
1,10,14,4,0,6,0,2
1,10,11,4,0,4,2,2
1,10,5,4,0,2,0,2
1,9,13,3,7,4,6,1.5
1,8,7,2,6,2,4,1.5
1,8,4,2,6,1,6,1
1,7,12,2,4,4,4,2
1,7,8,2,4,2,6,1.5
1,7,3,2,4,1,5,1.5
1,6,11,3,2,4,2,1.5
1,5,10,2,0,4,0,2
1,5,0,2,0,0,0,2
1,4,8,1,6,2,6,1
1,4,3,1,6,1,5,1
1,3,7,1,5,2,4,1.5
1,3,4,1,5,1,6,1
1,2,1,0,4,0,2,1.5
1,1,2,0,2,0,4,1.5
1,1,0,0,2,0,0,2
1,0,5,0,0,2,0,2
1,0,1,0,0,0,2,2
2,6,5,4,4,4,0,4
2,6,4,4,4,3,7,2.375
2,6,3,4,4,1,5,3.5
2,5,6,4,0,4,4,4
2,5,1,4,0,3,2,2.5
2,5,0,4,0,0,0,4
2,4,6,3,7,4,4,2.375
2,3,6,1,5,4,4,3.5
2,2,0,0,4,0,0,2.5
2,1,5,3,2,4,0,2.5
2,0,5,0,0,4,0,4
2,0,2,0,0,0,4,2.5
