level,node_id,coarse_row,coarse_col,fine_row,fine_col,num_children
1,0,0,2,0,4,4
1,1,0,4,0,9,2
1,2,0,5,0,10,4
1,3,0,6,0,12,2
1,4,0,8,0,16,4
1,5,0,9,0,18,4
1,6,0,11,0,23,2
1,7,0,12,0,24,4
1,8,0,13,0,26,2
1,9,0,15,0,30,4
1,10,0,16,0,32,4
1,11,0,18,0,37,2
1,12,0,19,0,38,4
1,13,0,20,0,40,2
1,14,0,22,0,44,4
1,15,0,23,0,46,4
1,16,0,25,0,51,2
1,17,0,26,0,52,2
1,18,1,2,2,4,4
1,19,1,3,3,6,2
1,20,1,4,2,9,3
1,21,1,5,2,10,4
1,22,1,6,2,12,3
1,23,1,7,3,14,2
1,24,1,8,2,16,4
1,25,1,9,2,18,4
1,26,1,10,3,20,2
1,27,1,11,2,23,3
1,28,1,12,2,24,4
1,29,1,13,2,26,3
1,30,1,14,3,28,2
1,31,1,15,2,30,4
1,32,1,16,2,32,4
1,33,1,17,3,34,2
1,34,1,18,2,37,3
1,35,1,19,2,38,4
1,36,1,20,2,40,3
1,37,1,21,3,42,2
1,38,1,22,2,44,4
1,39,1,23,2,46,4
1,40,1,24,3,48,2
1,41,1,25,2,51,3
1,42,1,26,2,52,2
1,43,2,0,4,0,4
1,44,2,1,4,2,4
1,45,2,2,4,4,4
1,46,2,3,4,6,4
1,47,2,4,4,8,4
1,48,2,5,4,10,4
1,49,2,6,4,12,4
1,50,2,7,4,14,4
1,51,2,8,4,16,4
1,52,2,9,4,18,4
1,53,2,10,4,20,4
1,54,2,11,4,22,4
1,55,2,12,4,24,4
1,56,2,13,4,26,4
1,57,2,14,4,28,4
1,58,2,15,4,30,4
1,59,2,16,4,32,4
1,60,2,17,4,34,4
1,61,2,18,4,36,4
1,62,2,19,4,38,4
1,63,2,20,4,40,4
1,64,2,21,4,42,4
1,65,2,22,4,44,4
1,66,2,23,4,46,4
1,67,2,24,4,48,4
1,68,2,25,4,50,4
1,69,2,26,4,52,4
1,70,2,27,4,54,4
1,71,2,28,4,56,2
1,72,3,1,6,3,2
1,73,3,2,6,4,4
1,74,3,3,6,6,4
1,75,3,4,6,8,4
1,76,3,5,6,10,4
1,77,3,6,6,12,4
1,78,3,7,6,14,4
1,79,3,8,6,16,4
1,80,3,9,6,18,4
1,81,3,10,6,20,4
1,82,3,11,6,22,4
1,83,3,12,6,24,4
1,84,3,13,6,26,4
1,85,3,14,6,28,4
1,86,3,15,6,30,4
1,87,3,16,6,32,4
1,88,3,17,6,34,4
1,89,3,18,6,36,4
1,90,3,19,6,38,4
1,91,3,20,6,40,4
1,92,3,21,6,42,4
1,93,3,22,6,44,4
1,94,3,23,6,46,4
1,95,3,24,6,48,4
1,96,3,25,6,50,4
1,97,3,26,6,52,4
1,98,3,27,6,54,4
1,99,3,28,6,56,2
1,100,4,0,9,0,2
1,101,4,1,8,3,3
1,102,4,2,8,4,4
1,103,4,3,8,6,4
1,104,4,5,8,11,2
1,105,4,7,8,15,2
1,106,4,9,8,19,2
1,107,4,11,8,23,2
1,108,4,13,8,27,2
1,109,4,15,8,31,2
1,110,4,17,8,35,2
1,111,4,19,8,39,2
1,112,4,21,8,43,2
1,113,4,23,8,47,2
1,114,4,24,8,48,4
1,115,4,25,8,50,4
1,116,4,26,8,52,4
1,117,4,27,8,54,4
1,118,4,28,8,56,2
1,119,5,0,10,0,4
1,120,5,1,10,2,4
1,121,5,2,10,4,4
1,122,5,3,10,6,4
1,123,5,4,10,8,2
1,124,5,5,10,10,3
1,125,5,6,10,12,2
1,126,5,7,10,14,3
1,127,5,8,10,16,2
1,128,5,9,10,18,3
1,129,5,10,10,20,2
1,130,5,11,10,22,3
1,131,5,12,10,24,2
1,132,5,13,10,26,3
1,133,5,14,10,28,2
1,134,5,15,10,30,3
1,135,5,16,10,32,2
1,136,5,17,10,34,3
1,137,5,18,10,36,2
1,138,5,19,10,38,3
1,139,5,20,10,40,2
1,140,5,21,10,42,3
1,141,5,22,10,44,2
1,142,5,23,10,46,3
1,143,5,24,10,48,4
1,144,5,25,10,50,4
1,145,5,26,10,52,4
1,146,6,0,12,0,2
1,147,6,1,12,2,3
1,148,6,2,12,4,4
1,149,6,3,12,6,4
1,150,6,4,13,8,2
1,151,6,5,12,11,3
1,152,6,6,13,12,2
1,153,6,7,12,15,3
1,154,6,8,13,16,2
1,155,6,9,12,19,3
1,156,6,10,13,20,2
1,157,6,11,12,23,3
1,158,6,12,13,24,2
1,159,6,13,12,27,3
1,160,6,14,13,28,2
1,161,6,15,12,31,3
1,162,6,16,13,32,2
1,163,6,17,12,35,3
1,164,6,18,13,36,2
1,165,6,19,12,39,3
1,166,6,20,13,40,2
1,167,6,21,12,43,3
1,168,6,22,13,44,2
1,169,6,23,12,47,3
1,170,6,24,12,48,4
1,171,6,25,12,50,4
1,172,6,26,12,52,4
1,173,6,27,13,54,2
1,174,6,28,13,56,1
1,175,7,1,14,3,2
1,176,7,2,14,4,4
