solver,agent_id,task_id,step,loc,row,col
solver1,0,6676,0,799387,536,211
solver1,0,6676,1,799386,536,210
solver1,0,6676,2,799385,536,209
solver1,1,9351,0,373594,250,844
solver1,1,9351,1,373593,250,843
solver1,1,9351,2,373592,250,842
solver1,1,9351,3,373591,250,841
solver1,1,9351,4,373590,250,840
solver1,2,9090,0,624956,419,227
solver1,2,9090,1,624957,419,228
solver1,3,6318,0,634647,425,972
solver1,3,6318,1,634646,425,971
solver1,4,7386,0,181177,121,766
solver1,4,7386,1,181178,121,767
solver1,4,7386,2,182669,122,767
solver1,4,7386,3,184160,123,767
solver1,4,7386,4,185651,124,767
solver1,5,1959,0,710420,476,704
solver1,5,1959,1,710421,476,705
solver1,5,1959,2,710422,476,706
solver1,6,279,0,542421,363,1188
solver1,6,279,1,542420,363,1187
solver1,6,279,2,542419,363,1186
solver1,6,279,3,542418,363,1185
solver1,7,7695,0,817898,548,830
solver1,7,7695,1,817897,548,829
solver1,7,7695,2,819388,549,829
solver1,7,7695,3,820879,550,829
solver1,8,9973,0,218558,146,872
solver1,8,9973,1,220049,147,872
solver1,8,9973,2,221540,148,872
solver1,9,4108,0,190036,127,679
solver1,9,4108,1,190035,127,678
solver1,9,4108,2,188544,126,678
solver1,10,8647,0,594142,398,724
solver1,10,8647,1,594143,398,725
solver1,10,8647,2,594144,398,726
solver1,11,7315,0,225929,151,788
solver1,11,7315,1,225930,151,789
solver1,11,7315,2,225931,151,790
solver1,11,7315,3,225932,151,791
solver1,11,7315,4,224441,150,791
solver1,12,5269,0,495493,332,481
solver1,12,5269,1,495494,332,482
solver1,12,5269,2,496985,333,482
solver1,12,5269,3,498476,334,482
solver1,12,5269,4,498477,334,483
solver1,12,5269,5,498478,334,484
solver1,12,5269,6,498479,334,485
solver1,13,7785,0,445363,298,1045
solver1,13,7785,1,445362,298,1044
solver1,13,7785,2,443871,297,1044
solver1,14,3835,0,466249,312,1057
solver1,14,3835,1,466250,312,1058
solver1,14,3835,2,466251,312,1059
solver1,14,3835,3,466252,312,1060
solver1,14,3835,4,466253,312,1061
solver1,15,1003,0,630931,423,238
solver1,15,1003,1,630932,423,239
solver1,16,7948,0,138030,92,858
solver1,16,7948,1,138031,92,859
solver1,16,7948,2,138032,92,860
solver1,17,2056,0,919341,616,885
solver1,17,2056,1,917850,615,885
solver1,18,9591,0,224461,150,811
solver1,18,9591,1,225952,151,811
solver1,18,9591,2,225953,151,812
solver1,19,1801,0,604074,405,219
solver1,19,1801,1,604073,405,218
solver1,19,1801,2,605564,406,218
solver1,19,1801,3,607055,407,218
solver6,0,6676,0,799387,536,211
solver6,0,6676,1,799386,536,210
solver6,0,6676,2,799385,536,209
solver6,1,9351,0,373594,250,844
solver6,1,9351,1,373593,250,843
solver6,1,9351,2,373592,250,842
solver6,1,9351,3,373591,250,841
solver6,1,9351,4,373590,250,840
solver6,2,9031,0,624956,419,227
solver6,2,9031,1,623465,418,227
solver6,2,9031,2,621974,417,227
solver6,2,9031,3,621973,417,226
solver6,2,9031,4,621972,417,225
solver6,3,2441,0,634647,425,972
solver6,3,2441,1,634648,425,973
solver6,4,7386,0,181177,121,766
solver6,4,7386,1,181178,121,767
solver6,4,7386,2,182669,122,767
solver6,4,7386,3,184160,123,767
solver6,4,7386,4,185651,124,767
solver6,5,1959,0,710420,476,704
solver6,5,1959,1,710421,476,705
solver6,5,1959,2,710422,476,706
solver6,6,5153,0,542421,363,1188
solver6,6,5153,1,540930,362,1188
solver6,6,5153,2,539439,361,1188
solver6,6,5153,3,539438,361,1187
solver6,7,7695,0,817898,548,830
solver6,7,7695,1,817897,548,829
solver6,7,7695,2,819388,549,829
solver6,7,7695,3,820879,550,829
solver6,8,88,0,218558,146,872
solver6,8,88,1,218559,146,873
solver6,8,88,2,218560,146,874
solver6,8,88,3,220051,147,874
solver6,9,4108,0,190036,127,679
solver6,9,4108,1,188545,126,679
solver6,9,4108,2,188544,126,678
solver6,10,8647,0,594142,398,724
solver6,10,8647,1,594143,398,725
solver6,10,8647,2,594144,398,726
solver6,11,7315,0,225929,151,788
solver6,11,7315,1,224438,150,788
solver6,11,7315,2,224439,150,789
solver6,11,7315,3,224440,150,790
solver6,11,7315,4,224441,150,791
solver6,12,8826,0,495493,332,481
solver6,12,8826,1,495492,332,480
solver6,12,8826,2,496983,333,480
solver6,12,8826,3,498474,334,480
solver6,12,8826,4,499965,335,480
solver6,13,7785,0,445363,298,1045
solver6,13,7785,1,443872,297,1045
solver6,13,7785,2,443871,297,1044
solver6,14,9183,0,466249,312,1057
solver6,14,9183,1,466250,312,1058
solver6,14,9183,2,466251,312,1059
solver6,14,9183,3,466252,312,1060
solver6,14,9183,4,466253,312,1061
solver6,14,9183,5,467744,313,1061
solver6,14,9183,6,469235,314,1061
solver6,15,1003,0,630931,423,238
solver6,15,1003,1,630932,423,239
solver6,16,7934,0,138030,92,858
solver6,16,7934,1,138029,92,857
solver6,16,7934,2,138028,92,856
solver6,16,7934,3,139519,93,856
solver6,16,7934,4,141010,94,856
solver6,16,7934,5,142501,95,856
solver6,17,4789,0,919341,616,885
solver6,17,4789,1,919340,616,884
solver6,18,8450,0,224461,150,811
solver6,18,8450,1,224460,150,810
solver6,18,8450,2,224459,150,809
solver6,18,8450,3,224458,150,808
solver6,18,8450,4,225949,151,808
solver6,19,1801,0,604074,405,219
solver6,19,1801,1,604073,405,218
solver6,19,1801,2,605564,406,218
solver6,19,1801,3,607055,407,218
