solver,agent_id,task_id,step,loc,row,col
solver1,0,41,0,799387,536,211
solver1,0,41,1,799388,536,212
solver1,0,41,2,799389,536,213
solver1,0,41,3,797898,535,213
solver1,0,41,4,797899,535,214
solver1,0,41,5,796408,534,214
solver1,0,41,6,796409,534,215
solver1,0,41,7,794918,533,215
solver1,0,41,8,794919,533,216
solver1,0,41,9,794920,533,217
solver1,0,41,10,793429,532,217
solver1,0,41,11,793430,532,218
solver1,0,41,12,791939,531,218
solver1,0,41,13,791940,531,219
solver1,0,41,14,791941,531,220
solver1,0,41,15,790450,530,220
solver1,0,41,16,790451,530,221
solver1,0,41,17,788960,529,221
solver1,0,41,18,788961,529,222
solver1,0,41,19,787470,528,222
solver1,0,41,20,787471,528,223
solver1,0,41,21,787472,528,224
solver1,0,41,22,785981,527,224
solver1,0,41,23,785982,527,225
solver1,0,41,24,784491,526,225
solver1,0,41,25,784492,526,226
solver1,0,41,26,784493,526,227
solver1,0,41,27,783002,525,227
solver1,0,41,28,783003,525,228
solver1,0,41,29,781512,524,228
solver1,0,41,30,781513,524,229
solver1,0,41,31,781514,524,230
solver1,0,41,32,780023,523,230
solver1,0,41,33,780024,523,231
solver1,0,41,34,778533,522,231
solver1,0,41,35,778534,522,232
solver1,0,41,36,778535,522,233
solver1,0,41,37,777044,521,233
solver1,0,41,38,777045,521,234
solver1,0,41,39,775554,520,234
solver1,0,41,40,775555,520,235
solver1,0,41,41,775556,520,236
solver1,0,41,42,774065,519,236
solver1,0,41,43,774066,519,237
solver1,0,41,44,772575,518,237
solver1,0,41,45,772576,518,238
solver1,0,41,46,772577,518,239
solver1,0,41,47,771086,517,239
solver1,0,41,48,771087,517,240
solver1,0,41,49,769596,516,240
solver1,0,41,50,768105,515,240
solver1,0,41,51,768106,515,241
solver1,0,41,52,766615,514,241
solver1,0,41,53,765124,513,241
solver1,0,41,54,765125,513,242
solver1,0,41,55,763634,512,242
solver1,0,41,56,762143,511,242
solver1,0,41,57,762144,511,243
solver1,0,41,58,760653,510,243
solver1,0,41,59,759162,509,243
solver1,0,41,60,759163,509,244
solver1,0,41,61,757672,508,244
solver1,0,41,62,756181,507,244
solver1,0,41,63,756182,507,245
solver1,0,41,64,754691,506,245
solver1,0,41,65,753200,505,245
solver1,0,41,66,753201,505,246
solver1,0,41,67,751710,504,246
solver1,0,41,68,750219,503,246
solver1,0,41,69,750220,503,247
solver1,0,41,70,748729,502,247
solver1,0,41,71,747238,501,247
solver1,0,41,72,747239,501,248
solver1,0,41,73,745748,500,248
solver1,0,41,74,744257,499,248
solver1,0,41,75,742766,498,248
solver1,0,41,76,742767,498,249
solver1,0,41,77,741276,497,249
solver1,0,41,78,739785,496,249
solver1,0,41,79,739786,496,250
solver1,0,41,80,738295,495,250
solver1,0,41,81,736804,494,250
solver1,0,41,82,736805,494,251
solver1,0,41,83,735314,493,251
solver1,0,41,84,733823,492,251
solver1,0,41,85,732332,491,251
solver1,0,41,86,732333,491,252
solver1,0,41,87,730842,490,252
solver1,0,41,88,729351,489,252
solver1,0,41,89,727860,488,252
solver1,0,41,90,727861,488,253
solver1,0,41,91,726370,487,253
solver1,0,41,92,724879,486,253
solver1,0,41,93,723388,485,253
solver1,0,41,94,723389,485,254
solver1,0,41,95,721898,484,254
solver1,0,41,96,720407,483,254
solver1,0,41,97,718916,482,254
solver1,0,41,98,718917,482,255
solver1,0,41,99,717426,481,255
solver1,0,41,100,715935,480,255
solver1,0,41,101,715936,480,256
solver1,0,41,102,714445,479,256
solver1,0,41,103,712954,478,256
solver1,0,41,104,711463,477,256
solver1,0,41,105,709972,476,256
solver1,0,41,106,709973,476,257
solver1,0,41,107,708482,475,257
solver1,0,41,108,706991,474,257
solver1,0,41,109,705500,473,257
solver1,0,41,110,704009,472,257
solver1,0,41,111,702518,471,257
solver1,0,41,112,701027,470,257
solver1,0,41,113,699536,469,257
solver1,0,41,114,698045,468,257
solver1,0,41,115,696554,467,257
solver1,0,41,116,695063,466,257
solver1,0,41,117,693572,465,257
solver1,0,41,118,692081,464,257
solver1,0,41,119,690590,463,257
solver1,0,41,120,689099,462,257
solver1,0,41,121,687608,461,257
solver1,0,41,122,686117,460,257
solver1,0,41,123,684626,459,257
solver1,0,41,124,683135,458,257
solver1,0,41,125,681644,457,257
solver1,0,41,126,680153,456,257
solver1,0,41,127,678662,455,257
solver1,0,41,128,677171,454,257
solver1,0,41,129,675680,453,257
solver1,0,41,130,674189,452,257
solver1,0,41,131,672698,451,257
solver1,0,41,132,671207,450,257
solver1,0,41,133,669716,449,257
solver1,0,41,134,668225,448,257
solver1,0,41,135,666734,447,257
solver1,0,41,136,665243,446,257
solver1,0,41,137,663752,445,257
solver1,0,41,138,662261,444,257
solver1,0,41,139,660770,443,257
solver1,0,41,140,659279,442,257
solver1,0,41,141,657788,441,257
solver1,0,41,142,656297,440,257
solver1,0,41,143,654806,439,257
solver1,0,41,144,653315,438,257
solver1,0,41,145,651824,437,257
solver1,0,41,146,650333,436,257
solver1,0,41,147,650332,436,256
solver1,0,41,148,650331,436,255
solver1,0,41,149,648840,435,255
solver1,0,41,150,648839,435,254
solver1,0,41,151,647348,434,254
solver1,0,41,152,647347,434,253
solver1,0,41,153,647346,434,252
solver1,0,41,154,645855,433,252
solver1,0,41,155,645854,433,251
solver1,0,41,156,645853,433,250
solver1,0,41,157,644362,432,250
solver1,0,41,158,644361,432,249
solver1,0,41,159,644360,432,248
solver1,0,41,160,644359,432,247
solver1,0,41,161,642868,431,247
solver1,0,41,162,642867,431,246
solver1,0,41,163,642866,431,245
solver1,0,41,164,641375,430,245
solver1,0,41,165,641374,430,244
solver1,0,41,166,641373,430,243
solver1,0,41,167,641372,430,242
solver1,0,41,168,639881,429,242
solver1,0,41,169,639880,429,241
solver1,0,41,170,638389,428,241
solver1,0,41,171,636898,427,241
solver1,0,41,172,635407,426,241
solver1,0,41,173,633916,425,241
solver1,0,41,174,632425,424,241
solver1,0,41,175,630934,423,241
solver1,0,41,176,629443,422,241
solver1,0,41,177,627952,421,241
solver1,0,41,178,626461,420,241
solver1,0,41,179,624970,419,241
solver1,0,41,180,623479,418,241
solver1,0,41,181,621988,417,241
solver1,0,41,182,620497,416,241
solver1,0,41,183,619006,415,241
solver1,0,41,184,617515,414,241
solver1,0,41,185,616024,413,241
solver1,0,41,186,614533,412,241
solver1,0,41,187,613042,411,241
solver1,0,41,188,611551,410,241
solver1,0,41,189,610060,409,241
solver1,0,41,190,608569,408,241
solver1,0,41,191,607078,407,241
solver1,0,41,192,605587,406,241
solver1,0,41,193,604096,405,241
solver1,0,41,194,602605,404,241
solver1,0,41,195,601114,403,241
solver1,0,41,196,599623,402,241
solver1,0,41,197,598132,401,241
solver1,0,41,198,596641,400,241
solver1,0,41,199,595150,399,241
solver1,0,41,200,593659,398,241
solver1,0,41,201,592168,397,241
solver1,0,41,202,590677,396,241
solver1,0,41,203,589186,395,241
solver1,0,41,204,587695,394,241
solver1,0,41,205,586204,393,241
solver1,0,41,206,584713,392,241
solver1,0,41,207,583222,391,241
solver1,0,41,208,581731,390,241
solver1,0,41,209,580240,389,241
solver1,0,41,210,578749,388,241
solver1,0,41,211,577258,387,241
solver1,0,41,212,575767,386,241
solver1,0,41,213,574276,385,241
solver1,0,41,214,572785,384,241
solver1,0,41,215,571294,383,241
solver1,0,41,216,569803,382,241
solver1,0,41,217,568312,381,241
solver1,0,41,218,566821,380,241
solver1,0,41,219,565330,379,241
solver1,0,41,220,563839,378,241
solver1,0,41,221,562348,377,241
solver1,0,41,222,560857,376,241
solver1,0,41,223,559366,375,241
solver1,0,41,224,557875,374,241
solver1,0,41,225,556384,373,241
solver1,0,41,226,556385,373,242
solver1,0,41,227,556386,373,243
solver1,0,41,228,556387,373,244
solver1,0,41,229,556388,373,245
solver1,0,41,230,556389,373,246
solver1,0,41,231,556390,373,247
solver1,0,41,232,556391,373,248
solver1,0,41,233,556392,373,249
solver1,0,41,234,556393,373,250
solver1,0,41,235,556394,373,251
solver1,0,41,236,556395,373,252
solver1,0,41,237,556396,373,253
solver1,0,41,238,556397,373,254
solver1,0,41,239,556398,373,255
solver1,0,41,240,556399,373,256
solver1,0,41,241,556400,373,257
solver1,0,41,242,556401,373,258
solver1,0,41,243,556402,373,259
solver1,0,41,244,556403,373,260
solver1,0,41,245,556404,373,261
solver1,0,41,246,556405,373,262
solver1,0,41,247,554914,372,262
solver1,0,41,248,554915,372,263
solver1,0,41,249,553424,371,263
solver1,0,41,250,553425,371,264
solver1,0,41,251,551934,370,264
solver1,0,41,252,551935,370,265
solver1,0,41,253,550444,369,265
solver1,0,41,254,550445,369,266
solver1,0,41,255,550446,369,267
solver1,0,41,256,548955,368,267
solver1,0,41,257,548956,368,268
solver1,0,41,258,547465,367,268
solver1,0,41,259,547466,367,269
solver1,0,41,260,547467,367,270
solver1,0,41,261,547468,367,271
solver1,0,41,262,547469,367,272
solver1,0,41,263,545978,366,272
solver1,0,41,264,545979,366,273
solver1,0,41,265,545980,366,274
solver1,0,41,266,545981,366,275
solver1,0,41,267,545982,366,276
solver1,0,41,268,544491,365,276
solver1,0,41,269,544492,365,277
solver1,0,41,270,544493,365,278
solver1,0,41,271,544494,365,279
solver1,0,41,272,543003,364,279
solver1,0,41,273,543004,364,280
solver1,0,41,274,543005,364,281
solver1,0,41,275,543006,364,282
solver1,0,41,276,543007,364,283
solver1,0,41,277,541516,363,283
solver1,0,41,278,541517,363,284
solver1,0,41,279,541518,363,285
solver1,0,41,280,541519,363,286
solver1,0,41,281,541520,363,287
solver1,0,41,282,541521,363,288
solver1,0,41,283,541522,363,289
solver1,0,41,284,541523,363,290
solver1,0,41,285,541524,363,291
solver1,0,41,286,541525,363,292
solver1,0,41,287,541526,363,293
solver1,0,41,288,543017,364,293
solver1,0,41,289,543018,364,294
solver1,0,41,290,543019,364,295
solver1,0,41,291,543020,364,296
solver1,0,41,292,544511,365,296
solver1,0,41,293,544512,365,297
solver1,0,41,294,544513,365,298
solver1,0,41,295,544514,365,299
solver1,0,41,296,544515,365,300
solver1,0,41,297,544516,365,301
solver1,0,41,298,544517,365,302
solver1,0,41,299,544518,365,303
solver1,0,41,300,544519,365,304
solver1,0,41,301,546010,366,304
solver1,0,41,302,547501,367,304
solver1,0,41,303,547502,367,305
solver1,0,41,304,547503,367,306
solver1,0,41,305,548994,368,306
solver1,0,41,306,550485,369,306
solver1,0,41,307,550486,369,307
solver1,0,41,308,550487,369,308
solver1,0,41,309,550488,369,309
solver1,0,41,310,550489,369,310
solver1,0,41,311,550490,369,311
solver1,0,41,312,550491,369,312
solver1,0,41,313,550492,369,313
solver1,0,41,314,550493,369,314
solver1,0,41,315,550494,369,315
solver1,0,41,316,550495,369,316
solver1,0,41,317,550496,369,317
solver1,0,41,318,550497,369,318
solver1,0,41,319,550498,369,319
solver1,0,41,320,550499,369,320
solver1,0,41,321,550500,369,321
solver1,0,41,322,550501,369,322
solver1,0,41,323,550502,369,323
solver1,0,41,324,551993,370,323
solver1,0,41,325,551994,370,324
solver1,0,41,326,551995,370,325
solver1,0,41,327,551996,370,326
solver1,0,41,328,551997,370,327
