file,agents,label,tasks,steps,makespan,tp_steps,tp_makespan
orz900d_5000_solver1.json,5000,solver1,2178,148,201,14.716216216216216,10.835820895522389
orz900d_5000_solver6_level1.json,5000,solver6_level1,1900,200,200,9.5,9.5
orz900d_5000_solver6_level2.json,5000,solver6_level2,1875,200,200,9.375,9.375
orz900d_5000_solver6_level3.json,5000,solver6_level3,1835,200,200,9.175,9.175
orz900d_5000_solver6_level4.json,5000,solver6_level4,1806,200,200,9.03,9.03
orz900d_10000_solver1.json,10000,solver1,4683,196,201,23.892857142857142,23.29850746268657
orz900d_10000_solver6_level1.json,10000,solver6_level1,4032,200,200,20.16,20.16
orz900d_10000_solver6_level2.json,10000,solver6_level2,4030,200,200,20.15,20.15
orz900d_10000_solver6_level3.json,10000,solver6_level3,3959,200,200,19.795,19.795
orz900d_10000_solver6_level4.json,10000,solver6_level4,3869,200,200,19.345,19.345
orz900d_20000_solver1.json,20000,solver1,9845,199,200,49.472361809045225,49.225
orz900d_20000_solver6_level1.json,20000,solver6_level1,8524,200,200,42.62,42.62
orz900d_20000_solver6_level2.json,20000,solver6_level2,8493,200,200,42.465,42.465
orz900d_20000_solver6_level3.json,20000,solver6_level3,8303,200,200,41.515,41.515
orz900d_20000_solver6_level4.json,20000,solver6_level4,8141,200,200,40.705,40.705
