solver,agent_id,task_id,step,loc,row,col
solver1,0,11853,0,154206,85,1206
solver1,0,11853,1,154207,85,1207
solver1,0,11853,2,156007,86,1207
solver1,0,11853,3,157807,87,1207
solver1,0,11853,4,159607,88,1207
solver1,0,11853,5,161407,89,1207
solver1,0,11853,6,163207,90,1207
solver1,0,11853,7,165007,91,1207
solver1,0,11853,8,166807,92,1207
solver1,1,4296,0,596552,331,752
solver1,1,4296,1,596553,331,753
solver1,1,4296,2,596554,331,754
solver1,1,4296,3,596555,331,755
solver1,1,4296,4,594755,330,755
solver1,1,4296,5,592955,329,755
solver1,1,4296,6,591155,328,755
solver1,1,4296,7,589355,327,755
solver1,1,4296,8,587555,326,755
solver1,1,4296,9,585755,325,755
solver1,2,5186,0,2254013,1252,413
solver1,2,5186,1,2254012,1252,412
solver1,2,5186,2,2254011,1252,411
solver1,2,5186,3,2252211,1251,411
solver1,2,5186,4,2250411,1250,411
solver1,2,5186,5,2248611,1249,411
solver1,2,5186,6,2246811,1248,411
solver1,2,5186,7,2245011,1247,411
solver1,2,5186,8,2243211,1246,411
solver1,2,5186,9,2243210,1246,410
solver1,2,5186,10,2243209,1246,409
solver1,3,14858,0,958859,532,1259
solver1,3,14858,1,960659,533,1259
solver1,3,14858,2,962459,534,1259
solver1,3,14858,3,964259,535,1259
solver1,3,14858,4,966059,536,1259
solver1,3,14858,5,967859,537,1259
solver1,3,14858,6,969659,538,1259
solver1,3,14858,7,971459,539,1259
solver1,3,14858,8,973259,540,1259
solver1,3,14858,9,975059,541,1259
solver1,3,14858,10,976859,542,1259
solver1,3,14858,11,978659,543,1259
solver1,3,14858,12,980459,544,1259
solver1,4,5314,0,1752843,973,1443
solver1,4,5314,1,1752842,973,1442
solver1,4,5314,2,1752841,973,1441
solver1,4,5314,3,1752840,973,1440
solver1,4,5314,4,1752839,973,1439
solver1,4,5314,5,1751039,972,1439
solver1,5,13716,0,995553,553,153
solver1,5,13716,1,995552,553,152
solver1,5,13716,2,995551,553,151
solver1,5,13716,3,995550,553,150
solver1,5,13716,4,995549,553,149
solver1,5,13716,5,995548,553,148
solver1,5,13716,6,995547,553,147
solver1,5,13716,7,997347,554,147
solver1,5,13716,8,999147,555,147
solver1,6,9359,0,2831448,1573,48
solver1,6,9359,1,2831447,1573,47
solver1,6,9359,2,2829647,1572,47
solver1,6,9359,3,2827847,1571,47
solver1,6,9359,4,2826047,1570,47
solver1,6,9359,5,2826048,1570,48
solver1,7,9291,0,2063955,1146,1155
solver1,7,9291,1,2062155,1145,1155
solver1,7,9291,2,2060355,1144,1155
solver1,7,9291,3,2058555,1143,1155
solver1,7,9291,4,2056755,1142,1155
solver1,8,4595,0,1077597,598,1197
solver1,8,4595,1,1077598,598,1198
solver1,8,4595,2,1077599,598,1199
solver1,8,4595,3,1075799,597,1199
solver1,8,4595,4,1073999,596,1199
solver1,8,4595,5,1072199,595,1199
solver1,8,4595,6,1072198,595,1198
solver1,9,4760,0,547846,304,646
solver1,9,4760,1,547845,304,645
solver1,9,4760,2,547844,304,644
solver1,9,4760,3,547843,304,643
solver1,9,4760,4,549643,305,643
solver1,9,4760,5,551443,306,643
solver1,9,4760,6,553243,307,643
solver1,9,4760,7,553242,307,642
solver1,9,4760,8,553241,307,641
solver1,10,25570,0,1277016,709,816
solver1,10,25570,1,1277017,709,817
solver1,10,25570,2,1277018,709,818
solver1,11,26640,0,2150431,1194,1231
solver1,11,26640,1,2152231,1195,1231
solver1,11,26640,2,2154031,1196,1231
solver1,11,26640,3,2155831,1197,1231
solver1,11,26640,4,2157631,1198,1231
solver1,11,26640,5,2157630,1198,1230
solver1,11,26640,6,2157629,1198,1229
solver1,12,14426,0,1082660,601,860
solver1,12,14426,1,1082661,601,861
solver1,12,14426,2,1082662,601,862
solver1,12,14426,3,1082663,601,863
solver1,12,14426,4,1082664,601,864
solver1,12,14426,5,1082665,601,865
solver1,12,14426,6,1082666,601,866
solver1,12,14426,7,1082667,601,867
solver1,12,14426,8,1082668,601,868
solver1,12,14426,9,1082669,601,869
solver1,12,14426,10,1082670,601,870
solver1,12,14426,11,1082671,601,871
solver1,12,14426,12,1082672,601,872
solver1,13,4053,0,2433421,1351,1621
solver1,13,4053,1,2433420,1351,1620
solver1,13,4053,2,2433419,1351,1619
solver1,13,4053,3,2433418,1351,1618
solver1,13,4053,4,2433417,1351,1617
solver1,13,4053,5,2433416,1351,1616
solver1,13,4053,6,2433415,1351,1615
solver1,13,4053,7,2433414,1351,1614
solver1,13,4053,8,2433413,1351,1613
solver1,13,4053,9,2433412,1351,1612
solver1,13,4053,10,2433411,1351,1611
solver1,13,4053,11,2435211,1352,1611
solver1,14,26708,0,3080944,1711,1144
solver1,14,26708,1,3080943,1711,1143
solver1,14,26708,2,3079143,1710,1143
solver1,14,26708,3,3077343,1709,1143
solver1,14,26708,4,3075543,1708,1143
solver1,14,26708,5,3075542,1708,1142
solver1,14,26708,6,3075541,1708,1141
solver1,15,5572,0,1781839,989,1639
solver1,15,5572,1,1780039,988,1639
solver1,15,5572,2,1780040,988,1640
solver1,15,5572,3,1780041,988,1641
solver1,15,5572,4,1780042,988,1642
solver1,15,5572,5,1780043,988,1643
solver1,15,5572,6,1780044,988,1644
solver1,15,5572,7,1780045,988,1645
solver1,15,5572,8,1780046,988,1646
solver1,15,5572,9,1780047,988,1647
solver1,15,5572,10,1778247,987,1647
solver1,15,5572,11,1776447,986,1647
solver1,16,26833,0,1813227,1007,627
solver1,16,26833,1,1815027,1008,627
solver1,16,26833,2,1816827,1009,627
solver1,16,26833,3,1816828,1009,628
solver1,16,26833,4,1816829,1009,629
solver1,16,26833,5,1816830,1009,630
solver1,16,26833,6,1816831,1009,631
solver1,16,26833,7,1816832,1009,632
solver1,17,21996,0,2677003,1487,403
solver1,17,21996,1,2678803,1488,403
solver1,17,21996,2,2680603,1489,403
solver1,17,21996,3,2680604,1489,404
solver1,17,21996,4,2680605,1489,405
solver1,18,8455,0,1192239,662,639
solver1,18,8455,1,1190439,661,639
solver1,18,8455,2,1188639,660,639
solver1,18,8455,3,1186839,659,639
solver1,18,8455,4,1185039,658,639
solver1,18,8455,5,1183239,657,639
solver1,18,8455,6,1181439,656,639
solver1,18,8455,7,1179639,655,639
solver1,18,8455,8,1179640,655,640
solver1,18,8455,9,1179641,655,641
solver1,19,20043,0,104774,58,374
solver1,19,20043,1,104773,58,373
solver1,19,20043,2,104772,58,372
solver1,19,20043,3,104771,58,371
solver1,19,20043,4,106571,59,371
solver1,19,20043,5,108371,60,371
solver1,19,20043,6,110171,61,371
solver1,19,20043,7,111971,62,371
solver1,19,20043,8,113771,63,371
solver1,19,20043,9,115571,64,371
solver1,20,28457,0,2955683,1642,83
solver1,20,28457,1,2955682,1642,82
solver1,20,28457,2,2955681,1642,81
solver1,20,28457,3,2955680,1642,80
solver1,20,28457,4,2955679,1642,79
solver1,20,28457,5,2955678,1642,78
solver1,20,28457,6,2955677,1642,77
solver1,20,28457,7,2955676,1642,76
solver1,20,28457,8,2955675,1642,75
solver1,21,24524,0,2460334,1366,1534
solver1,21,24524,1,2460333,1366,1533
solver1,22,720,0,2143811,1191,11
solver1,22,720,1,2145611,1192,11
solver1,22,720,2,2145610,1192,10
solver1,22,720,3,2145609,1192,9
solver1,22,720,4,2145608,1192,8
solver1,22,720,5,2145607,1192,7
solver1,22,720,6,2147407,1193,7
solver1,23,14714,0,3006479,1670,479
